k,E_ux,E_uy,E_uz
381.0,0.007984344196473998,0.008602303707159715,0.008977199725706342
382.0,0.0076884335788642445,0.008205914209834913,0.008670564640581116
383.0,0.007426197884103058,0.007845244656111314,0.008310887631243673
384.0,0.0070725268644320416,0.007540995408490627,0.007838417250759126
385.0,0.006900811568819258,0.007291741716950035,0.007710612533794123
386.0,0.006616521436283074,0.007005379536158724,0.007360519194324039
387.0,0.006316516163249545,0.006694998696610962,0.007005266334826985
388.0,0.006027532474861331,0.006421365553876978,0.006708500746539406
389.0,0.005780236888126424,0.006197309687717995,0.006437590030892525
390.0,0.005618550477626453,0.00594205382297101,0.006224823795655566
391.0,0.0052511181016319875,0.0055746391733980955,0.005859650721356938
392.0,0.0049907401276441,0.005328628417656885,0.005571811819322645
393.0,0.004938327248301364,0.005192972242327168,0.0054443982226898445
394.0,0.0046397612925939994,0.004890502930483237,0.005136349340999554
395.0,0.004324444418128307,0.00466168950904345,0.004847626407212969
396.0,0.004255526165902805,0.004555871432333911,0.004771259270022836
397.0,0.004065229348937131,0.004334498550485347,0.004515093602826219
398.0,0.0038068609408943186,0.004051778293139789,0.004237766148563523
399.0,0.0035650279768528518,0.00382280140239227,0.003979119870155789
400.0,0.0035235619521984543,0.003761161218781944,0.003957051750573195
401.0,0.00329561733508338,0.0035519673353300494,0.003614243735469772
402.0,0.0031420289239613122,0.0032998634838429914,0.003424768082913002
403.0,0.0029802881048390287,0.003164199001782869,0.00326631444468402
404.0,0.002836311693750125,0.002992284886712125,0.0031406507641003646
405.0,0.002643532959953904,0.002844265857532932,0.00291541593685713
406.0,0.00244884839736071,0.0026336922027507988,0.0026752165317697435
407.0,0.0023986535533588424,0.0025337008520237275,0.0026093703225363533
408.0,0.002263912579372978,0.002436677572443158,0.002476920217816246
409.0,0.002076008014445062,0.0022235955478803657,0.0022874435730284156
410.0,0.0019407116578840946,0.002046001524238199,0.002119107763342406
411.0,0.0019254930252058957,0.002018225934008162,0.002089350321015828
412.0,0.001780796449016244,0.001900201755640258,0.0019146010684456516
413.0,0.00161628950407996,0.0017239810789672718,0.001752879027728492
414.0,0.0014793324697215508,0.0015892075827980677,0.00163519657411935
415.0,0.0014223851132965071,0.0015155266573116252,0.0015581452382584693
416.0,0.0013051776602706526,0.0014104111690660735,0.0014268146169832785
417.0,0.0011849295920201073,0.0012645882323444174,0.0012752141810682975
418.0,0.001106163318138233,0.0012048669326960755,0.0012028811902290387
419.0,0.0010653949018798136,0.001132183384834758,0.0011611554640666567
420.0,0.00092003691008521,0.0009900884243289694,0.0010282829926170731
421.0,0.000815744251329437,0.0008880818274984265,0.0008853231098477631
422.0,0.0008238057176434587,0.0008946113032796248,0.0009164832149038695
423.0,0.0007661622977403589,0.0008396045633775601,0.0008236151486512562
424.0,0.0006084878292630739,0.0006536313728136261,0.0006680834221080448
425.0,0.0005148307775857013,0.000560416013029879,0.0005654882623368164
426.0,0.000565292130749036,0.0006094735110108531,0.0006180839715614754
427.0,0.0004983351591678242,0.0005173263224841447,0.0005060692736831484
428.0,0.0003842464328507232,0.0004112117031634397,0.0004002886774777491
429.0,0.00030444638444448015,0.00034216581819415903,0.0003290301386181988
430.0,0.0003447913684333729,0.00036686281435783423,0.00037581930244490983
431.0,0.0002959460070633656,0.00029870350139238436,0.00030986412002101946
432.0,0.00019501022734975696,0.000213653766868767,0.00022669709949028487
433.0,0.00016017739777230469,0.00016160893904167278,0.00015928859856437262
434.0,0.00016995332972553833,0.00017999821871625857,0.0001933033788607357
435.0,0.00013260669692056573,0.00013719818122260647,0.00014638795780404554
436.0,7.810367116568094e-05,8.213925788168837e-05,8.537902304353757e-05
437.0,5.895385636256807e-05,7.108246820936892e-05,6.567669156696198e-05
438.0,5.313841962249733e-05,6.30952911109404e-05,6.666517694696222e-05
439.0,3.6760138825070506e-05,4.1654508886437585e-05,3.830930476662849e-05
440.0,1.1317460842116663e-05,1.1996165577587499e-05,1.3821538543935696e-05
441.0,1.3939260874435225e-05,1.4659131038913732e-05,1.3557303325552009e-05
442.0,3.4420049363298147e-06,4.227333919724672e-06,4.212909902902688e-06
443.0,4.5100582795910786e-07,8.700668411770739e-07,1.8617919279106093e-07
444.0,0.0,0.0,0.0
445.0,0.0,0.0,0.0
446.0,0.0,0.0,0.0
447.0,0.0,0.0,0.0
448.0,0.0,0.0,0.0
449.0,0.0,0.0,0.0
450.0,0.0,0.0,0.0
451.0,0.0,0.0,0.0
452.0,0.0,0.0,0.0
453.0,0.0,0.0,0.0
