k,E_Jx,E_Jy,E_Jz
177.0,6.156136227300466e-64,1.338112544652977e-63,1.9894485792016473e-63
178.0,6.300731776371357e-64,1.3617858216184329e-63,2.0224309091436046e-63
179.0,6.7055868246804e-64,1.4022575672057285e-63,2.0227497771558823e-63
180.0,6.857271577121173e-64,1.4155793775273415e-63,2.0334081169210247e-63
181.0,6.65648161986769e-64,1.4197919367407184e-63,2.0676989300506908e-63
182.0,6.959374681169083e-64,1.4414173902354752e-63,2.100718253398541e-63
183.0,7.0661860941262e-64,1.440588245643496e-63,2.0647856218682726e-63
184.0,6.886803733006457e-64,1.4208599331107584e-63,2.017158066565154e-63
185.0,7.672205612186837e-64,1.511746879977135e-63,2.1621907812773363e-63
186.0,7.566807605966492e-64,1.4887187482578532e-63,2.1007540441699952e-63
187.0,7.756670294128471e-64,1.525425677219094e-63,2.0613903155933736e-63
188.0,8.085648420477316e-64,1.5950150320518443e-63,2.1835845446018167e-63
189.0,7.673651973638303e-64,1.5188884600369966e-63,2.1014461750669297e-63
190.0,7.630243764970109e-64,1.5269157135931766e-63,2.0745370929798278e-63
191.0,7.840305950713451e-64,1.539601906682265e-63,2.0361830773769481e-63
192.0,9.113941710931346e-64,1.673139065826616e-63,2.174186259505392e-63
193.0,7.657106570833049e-64,1.5040861713957121e-63,2.0928647830003782e-63
194.0,7.865218186643911e-64,1.5167414113311997e-63,2.0399889260397365e-63
195.0,7.637801099370428e-64,1.529048200130787e-63,2.024347504991102e-63
196.0,8.014415008509534e-64,1.5689257380488868e-63,2.0580148537904076e-63
197.0,7.91379611234143e-64,1.5559336634641373e-63,2.0392308869784418e-63
198.0,7.869076585202437e-64,1.5338443809404275e-63,1.9672164336718827e-63
199.0,7.893273843514295e-64,1.5233949530880005e-63,1.9699451083690414e-63
200.0,7.544877070149804e-64,1.5075313948412757e-63,1.9253082618860337e-63
201.0,7.459588827143618e-64,1.480191474133257e-63,1.8823725299620616e-63
202.0,7.681587048332635e-64,1.5078356618586322e-63,1.8958620527157976e-63
203.0,7.549189050437368e-64,1.4765891005304205e-63,1.8402553917703193e-63
204.0,7.407168299366065e-64,1.4763351568631602e-63,1.847953473687231e-63
205.0,7.42561006470038e-64,1.480932418042257e-63,1.8178450143982834e-63
206.0,7.139055146087771e-64,1.4419960663531252e-63,1.7609415652649518e-63
207.0,7.16202997103758e-64,1.4545628150176655e-63,1.777395956762223e-63
208.0,7.029527569192347e-64,1.430092965436972e-63,1.7207494027389307e-63
209.0,7.118147551323146e-64,1.4632049060355504e-63,1.7443168205928078e-63
210.0,7.066548946802487e-64,1.4405004726287308e-63,1.697338420987027e-63
211.0,7.119593246915367e-64,1.4392639142011905e-63,1.685912480946617e-63
212.0,7.11382817185751e-64,1.4371453246581753e-63,1.6917883853280712e-63
213.0,7.187288791785972e-64,1.4364945172345625e-63,1.6666302031923434e-63
214.0,7.196310628066419e-64,1.4562811247457326e-63,1.694049186053099e-63
215.0,7.203956972576237e-64,1.4230361062967457e-63,1.6499476136242255e-63
216.0,7.215633908258886e-64,1.448020415640612e-63,1.6475188675676693e-63
217.0,7.332537064907165e-64,1.448085458038494e-63,1.656312861332472e-63
218.0,7.309791940795534e-64,1.43633333603537e-63,1.631609668165063e-63
